serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
625,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
626,22,DEC-14,Hyderabad,22-29,Female,Employed,Rs. 3 - 5 lakhs,5 and more,Graduate & above,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
627,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Worsen,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
628,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will worsen,Remained almost unchanged,Will remain almost unchanged,NA,NA
629,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
630,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Improved,Will improve,Gone down,Will remain almost unchanged,NA,NA
631,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go down,More than last year,NA
632,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
633,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Graduate & above,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
634,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Worsen,Will improve,Remained almost unchanged,Will go down,NA,NA
635,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 5 lakhs or more,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Decreased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
636,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat worse off,Will Remain the Same,Decreased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go down,More than last year,NA
637,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Graduate & above,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
638,22,DEC-14,Hyderabad,60 & above,Male,Daily Worker,Rs. 3 - 5 lakhs,5 and more,Up to primary,3,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
639,22,DEC-14,Hyderabad,22-29,Male,Unemployed,Rs. 5 lakhs or more,3 or 4,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Decreased,Neither increase nor decrease,Remained the same,Will improve,Gone down,Will remain almost unchanged,NA,NA
640,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Graduate & above,2,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go down,More than last year,NA
641,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 5 lakhs or more,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
642,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
643,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 5 lakhs or more,5 and more,Up to primary,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Remained the same,Increase,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
644,22,DEC-14,Hyderabad,60 & above,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
645,22,DEC-14,Hyderabad,22-29,Female,Employed,Rs. 3 - 5 lakhs,5 and more,Below Graduate,2,Remained the same,Will Improve,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
646,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Decreased,Remain the same,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
647,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
648,22,DEC-14,Hyderabad,22-29,Female,Unemployed,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat worse off,Will be better off,Decreased,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
649,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 5 lakhs or more,5 and more,Below Graduate,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Decreased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
650,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
651,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
652,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
653,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
654,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
655,22,DEC-14,Hyderabad,22-29,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
656,22,DEC-14,Hyderabad,60 & above,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
657,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
658,22,DEC-14,Hyderabad,40-59,Male,Employed,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
659,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
660,22,DEC-14,Hyderabad,30-39,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,Same as current year
661,22,DEC-14,Hyderabad,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
662,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
663,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
664,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
665,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,2,Worsen,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
666,22,DEC-14,Hyderabad,40-59,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,1 or 2,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
667,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
668,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
669,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
670,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Remained almost unchanged,Will go up,NA,Less than current year
671,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
672,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Decreased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
673,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,1 or 2,Below Graduate,1,Improved,Will Improve,Difficult to say,Will be better off,Decreased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
674,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Increase,Remained the same,Will improve,Gone up,Will go down,Same as last year,NA
675,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Decreased,Remain the same,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
676,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
677,22,DEC-14,Hyderabad,22-29,Female,Employed,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,2,Improved,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
678,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Remained the same,Decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
679,22,DEC-14,Hyderabad,60 & above,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Decreased,Decrease,Remained the same,Will improve,Gone up,Will go up,Same as last year,More than current year
680,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
681,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
